p1,p2,p3,p4,y,mean,std,mean-std,mean+std,score_EI,score_PI,score_TS
180,0,100,200,,0.26669934232961784,0.06139866690898145,0.2053006754206364,0.3280980092385993,0.0010580651947820893,0.04232784848875347,0.2927858542548684
180,0,200,200,,0.2777922057119876,0.04555895284126962,0.23223325287071797,0.32335115855325725,0.000311119408456185,0.018749124471884964,0.3320218858119642
180,0,300,200,,0.2927527988725362,0.05041439911322946,0.24233839975930674,0.34316719798576567,0.0012189668754379185,0.05668905425767583,0.32212246575076503
180,0,400,200,,0.28882874808019443,0.06438206204800237,0.22444668603219206,0.3532108101281968,0.002927028454010272,0.09668619849176197,0.2786641300026456
180,100,100,200,,0.32305963873733123,0.03676086861785355,0.2862987701194777,0.3598205073551848,0.0015139414704186836,0.08902580076136007,0.3720856677294372
180,100,200,200,0.352,0.35262323767883486,0.005747754934281879,0.346875482744553,0.3583709926131167,3.784713575169781e-07,0.0002601555959355894,0.36000485794972803
180,100,300,200,0.35,0.3496859165794983,0.005772468736560221,0.3439134478429381,0.35545838531605856,4.833802134592126e-08,3.6841390795692446e-05,0.34841978527404244
180,100,400,200,,0.31377572362982403,0.047459297227362314,0.2663164264024617,0.36123502085718634,0.0024575120315568806,0.10770946353329824,0.34937145065073316
180,200,100,200,0.35,0.3498530692025071,0.0057720347840384744,0.3440810344184686,0.35562510398654557,5.480946543708638e-08,4.1527653171827766e-05,0.3476221141260783
180,200,200,200,0.374,0.3725683839088301,0.00570671115795473,0.3668616727508754,0.37827509506678486,0.0022766483629467604,0.5,0.3624830139317817
180,200,300,200,,0.3450955526542963,0.03579339661092444,0.30930215604337186,0.38088894926522077,0.004554287122244883,0.22138052898566102,0.3684577040279512
180,200,400,200,,0.299677260168982,0.06345801698371502,0.236219243185267,0.363135277152697,0.003951685195571543,0.1253499296882163,0.3927809706202817
180,300,100,200,,0.2749598810434685,0.03699337086408878,0.23796651017937975,0.3119532519075573,4.786921339692266e-05,0.0041631891614954016,0.22787329460718692
180,300,200,200,0.25,0.25084364577186896,0.005748578233821148,0.2450950675380478,0.2565922240056901,2.2058896425527282e-103,8.161348755294942e-100,0.25193378198529665
180,300,300,200,,0.2286506001997165,0.04036547760712054,0.18828512259259597,0.26901607780683706,1.8166037202430557e-06,0.00018167297397772854,0.2975988622386737
180,300,400,200,,0.23502515037525282,0.06643229835620192,0.1685928520190509,0.30145744873145475,0.00046610566361812407,0.019206181215596307,0.3344344709957356
180,400,100,200,,0.21491174217597422,0.06298388787817445,0.15192785429779976,0.2778956300541487,0.00012501091336249246,0.0061550759960083,0.16839603691813126
180,400,200,200,,0.16299908153919895,0.03959347548232335,0.1234056060568756,0.2025925570215223,4.224393642231827e-10,6.015434389917784e-08,0.15162741494925303
180,400,300,200,0.151,0.15142574842205908,0.0057843158294220536,0.14564143259263704,0.15721006425148112,9.367e-321,0.0,0.15434342233307238
180,400,400,200,,0.1948050595577639,0.05253132456986517,0.14227373498789872,0.24733638412762907,4.8449306687923534e-06,0.0003572563422553166,0.17444200652950878
